symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid,address,business_scope,chairman,city,descrpt,email,main_business,manager,province,reg_capital,secretary,setup_date,website
KODK,2021Q1_962098,柯达,0,NYSE,商业服务,31020,-,特种商业服务,31020010,3750903000,1.79,-9.21,$7.39,工业,310,0.09,73084,575000,0.0,10000.0,73084,0.0,0.0,1,12.08,7.6,9.14,-19.15,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962098,,,,,,,,,,,,,
PYR,2021Q1_962080,PyroGenesis Canada Inc,0,NAS,工业制品,31070,-,特种工业机械,31070020,4786903000,-16.54,57.17,$4.44,工业,310,0.13,211000,1420000,0.0,10000.0,211000,0.0,0.0,1,9.43,2.79,5.87,-24.36,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962080,,,,,,,,,,,,,
EADSF,2021Q1_962121,Airbus SE,0,OTCPK,航空航天和国防,31010,-,航空航天和国防,31010010,663474161000,7.25,17.41,$131.50,工业,310,0.0,8928,1013000,0.0,10000.0,8928,0.0,0.0,1,124.63,100.0,113.24,16.12,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962121,,,,,,,,,,,,,
IWF,2021Q1_962120,罗素1000成长指数ETF-iShares,0,ARCA,-,0,-,0,0,457568538000,6.04,14.99,$276.87,-,0,0.0,3270,795000,0.0,10000.0,3270,0.0,0.0,1,254.31,229.7,243.12,13.88,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962120,,,,,,,,,,,,,
SPY,2021Q1_962078,SPDR标普500ETF,0,ARCA,-,0,-,0,0,2470415269000,4.88,17.04,$434.75,-,0,0.0,55,22000,0.0,10000.0,55,0.0,0.0,1,396.33,367.59,384.57,13.05,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962078,,,,,,,,,,,,,
THLEF,2021Q1_962122,Thales,2020,OTCPK,航空航天和国防,31010,-,航空航天和国防,31010010,142254500000,-4.51,12.67,$101.95,工业,310,0.01,25234,2512000,0.0,10000.0,25234,0.0,0.0,1,100.25,87.76,94.06,8.39,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962122,,,,,,,,,,,,,
SPR,2021Q1_962132,Spirit AeroSystems Holdings Inc,2020,NYSE,航空航天和国防,31010,-,航空航天和国防,31010010,28974417000,-8.97,8.8,$42.51,工业,310,0.04,42063,2046000,0.0,10000.0,42063,0.0,0.0,1,52.01,33.87,42.74,-0.54,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962132,,,,,,,,,,,,,
PLTR,2021Q1_962062,Palantir Technologies Inc,0,NYSE,软件,31110,-,软件基础构架,31110030,260981646000,-7.26,-8.83,$21.47,科技,311,0.99,18632471,433950000,0.86,1314.64,17315349,0.8,0.8,1,39.0,21.73,27.5,-21.93,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 1314.64 %,2021Q1_962062,,,,,,,,,,,,,
TER,2021Q1_961947,泰瑞达,2014,NAS,半导体,31130,-,半导体仪器和材料,31130010,132364163000,-6.07,2.87,$123.13,科技,311,1.73,2877103,350086000,0.7,1108.63,2639056,0.64,0.64,1,143.64,104.2,125.91,-2.21,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 1108.63 %,2021Q1_961947,,,,,,,,,,,,,
SRPT,2021Q1_962068,Sarepta Therapeutics Inc,0,NAS,生物科技,20610,-,生物科技,20610010,35264064000,-5.87,-59.9,$68.37,医疗保健,206,2.33,1860293,138648000,0.28,665.83,1617382,0.24,0.24,1,168.95,72.25,92.26,-25.89,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 665.83 %,2021Q1_962068,,,,,,,,,,,,,
TXG,2021Q1_962020,10x Genomics Inc,0,NAS,医疗机构和服务,20645,-,医疗信息服务,20645030,120719775000,-13.3,20.09,$170.05,医疗保健,206,3.19,3504121,634246000,1.26,556.82,2970625,1.07,1.07,1,196.86,140.25,173.08,-1.75,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 556.82 %,2021Q1_962020,,,,,,,,,,,,,
ARKG,2021Q1_962118,ARK Genomic Revolution ETF,0,BATS,-,0,-,0,0,55671534000,-8.81,-11.67,$82.38,-,0,0.01,10735,953000,0.0,542.81,9065,0.0,0.0,1,112.47,81.74,99.19,-16.95,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 542.81 %,2021Q1_962118,,,,,,,,,,,,,
ARKK,2021Q1_962111,ARK Innovation ETF,0,ARCA,-,0,-,0,0,142734482000,-8.07,-6.5,$116.40,-,0,0.01,18101,2171000,0.0,521.17,15187,0.0,0.0,1,156.58,110.26,135.31,-13.98,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 521.17 %,2021Q1_962111,,,,,,,,,,,,,
MGA,2021Q1_962073,曼格纳国际,2009,NYSE,汽车和配件,10200,-,汽车配件,10200030,170400156000,-8.26,24.68,$87.41,周期性消费,102,0.23,707109,62254000,0.12,502.91,589827,0.1,0.1,1,93.68,69.71,81.12,7.75,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 502.91 %,2021Q1_962073,,,,,,,,,,,,,
UPS,2021Q1_961958,联合包裹,1999,NYSE,交通运输,31080,-,装卸搬运和其他运输代理,31080060,1198067688000,19.06,27.61,$212.86,工业,310,0.0,28750,4887000,0.01,419.33,23214,0.01,0.01,1,169.99,155.0,161.78,31.57,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 419.33 %,2021Q1_961958,,,,,,,,,,,,,
MSFT,2021Q1_961907,微软,2003,NAS,软件,31110,-,软件基础构架,31110030,13684871275000,8.51,26.85,$281.03,科技,311,0.0,109170,25739000,0.05,408.0,87680,0.04,0.04,1,244.99,212.25,232.23,21.01,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 408.00 %,2021Q1_961907,,,,,,,,,,,,,
DASTF,2021Q1_961902,Dassault Systemes SE,2008,OTCPK,软件,31110,-,软件应用,31110020,434109868000,12.61,31.06,$51.50,科技,311,0.05,632470,27110000,0.05,395.49,504825,0.04,0.04,5,46.4,38.55,42.23,21.95,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 395.49 %,2021Q1_961902,,,,,,,,,,,,,
RDHL,2021Q1_961934,Redhill Biopharma Ltd,0,NAS,医药制造,20620,-,专用医药制造,20620020,1802063000,-19.11,-26.11,$5.97,医疗保健,206,1.66,775698,5678000,0.01,365.19,608949,0.01,0.01,1,11.29,6.98,8.41,-29.01,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 365.19 %,2021Q1_961934,,,,,,,,,,,,,
PDD,2021Q1_961930,拼多多,0,NAS,零售,10280,-,网络零售,10280050,897342730000,-16.35,-37.67,$110.74,周期性消费,102,0.07,837156,112078000,0.22,358.99,654766,0.17,0.17,1,202.82,124.18,169.27,-34.58,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 358.99 %,2021Q1_961930,,,,,,,,,,,,,
NUVA,2021Q1_961921,纽瓦索器材,0,NAS,医疗器械,20650,-,医疗设备,20650010,21472075000,-6.74,14.15,$64.30,医疗保健,206,0.16,81321,5331000,0.01,354.94,63446,0.01,0.01,1,68.08,53.26,59.95,7.26,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 354.94 %,2021Q1_961921,,,,,,,,,,,,,
MDT,2021Q1_961978,美敦力,1978,NYSE,医疗器械,20650,-,医疗设备,20650010,1088480676000,0.11,8.05,$125.36,医疗保健,206,0.0,39796,4701000,0.01,351.25,30977,0.01,0.01,1,119.74,111.18,117.24,6.93,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 351.25 %,2021Q1_961978,,,,,,,,,,,,,
SYK,2021Q1_961942,史赛克,2009,NYSE,医疗器械,20650,-,医疗设备,20650010,625693790000,0.32,5.42,$257.05,医疗保健,206,0.01,19138,4662000,0.01,350.62,14891,0.01,0.01,1,248.82,221.01,239.94,7.13,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 350.62 %,2021Q1_961942,,,,,,,,,,,,,
MMM,2021Q1_961952,3M Co,1959,NYSE,工业制品,31070,-,特种工业机械,31070020,758745298000,3.34,17.6,$202.59,工业,310,0.0,3792,731000,0.0,348.76,2947,0.0,0.0,1,195.74,165.2,179.02,13.17,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 348.76 %,2021Q1_961952,,,,,,,,,,,,,
SMAWF,2021Q1_961904,Siemens AG,2009,OTCPK,工业制品,31070,-,特种工业机械,31070020,796378840000,-8.44,9.86,$153.71,工业,310,0.0,32880,5410000,0.01,346.86,25522,0.01,0.01,1,167.65,143.96,157.65,-2.5,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 346.86 %,2021Q1_961904,,,,,,,,,,,,,
AME,2021Q1_961852,阿美特克,1994,NYSE,工业制品,31070,-,特种工业机械,31070020,202646033000,2.09,12.56,$135.73,工业,310,0.02,56347,7197000,0.01,346.45,43726,0.01,0.01,1,128.21,111.06,120.72,12.43,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 346.45 %,2021Q1_961852,,,,,,,,,,,,,
HENOF,2021Q1_961898,Henkel AG & Co KGaA,2013,OTCPK,农副加工食品,20525,-,家庭生活用品,20525030,269378270000,-10.36,-7.53,$101.99,非周期性消费,205,0.0,5962,689000,0.0,342.94,4616,0.0,0.0,1,114.0,97.75,106.36,-4.1,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 342.94 %,2021Q1_961898,,,,,,,,,,,,,
KDSKF,2021Q1_961965,Koninklijke DSM NV,2019,OTCPK,化工,10130,-,特种化学制品,10130020,218751100000,8.99,11.17,$192.60,基础材料,101,0.0,3625,615000,0.0,330.01,2782,0.0,0.0,1,182.25,166.0,173.63,10.93,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 330.01 %,2021Q1_961965,,,,,,,,,,,,,
BZQIF,2021Q1_961908,Bezeq The Israeli Telecommunication Corp Ltd,0,OTCPK,通信,30810,-,电信服务,30810010,18432183000,-3.29,6.19,$1.03,通信服务,308,0.21,5896764,6297000,0.01,327.89,4518652,0.01,0.01,1,1.11,0.86,1.01,1.98,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 327.89 %,2021Q1_961908,,,,,,,,,,,,,
FARO,2021Q1_961872,法如科技,0,NAS,硬件,31120,-,科技仪器,31120060,8654120000,-11.76,4.39,$73.73,科技,311,0.51,91661,7935000,0.02,326.49,70169,0.02,0.02,1,96.1,68.33,82.81,-10.96,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 326.49 %,2021Q1_961872,,,,,,,,,,,,,
RNSHF,2021Q1_961859,Renishaw PLC,2020,OTCPK,硬件,31120,-,科技仪器,31120060,32041069000,-21.31,-16.21,$69.64,科技,311,0.43,313442,27726000,0.06,325.75,239820,0.05,0.05,1,97.0,79.85,83.14,-16.24,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 325.75 %,2021Q1_961859,,,,,,,,,,,,,
SAUHF,2021Q1_961929,Straumann Holding AG,0,OTCPK,医疗器械,20650,-,医疗器械和供给,20650020,181165908000,29.13,48.39,$1759.92,医疗保健,206,0.14,21662,27109000,0.05,323.75,16550,0.04,0.04,1,1330.92,1097.03,1203.23,46.27,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 323.75 %,2021Q1_961929,,,,,,,,,,,,,
BEAM,2021Q1_962053,金宾,0,NAS,生物科技,20610,-,生物科技,20610010,36189190000,15.95,4.79,$85.55,医疗保健,206,7.3,4779104,382519000,0.76,322.32,3647481,0.58,0.58,1,120.75,71.28,95.29,-10.22,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 322.32 %,2021Q1_962053,,,,,,,,,,,,,
HXGBF,2021Q1_961969,Hexagon AB,2019,OTCPK,硬件,31120,-,科技仪器,31120060,255914502000,11.95,26.58,$15.80,科技,311,0.02,532427,7031000,0.01,320.46,405797,0.01,0.01,7,13.11,12.1,12.75,23.92,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 320.46 %,2021Q1_961969,,,,,,,,,,,,,
ARKAF,2021Q1_961966,Arkema SA,2020,OTCPK,化工,10130,-,特种化学制品,10130020,61843594000,9.25,18.61,$126.40,基础材料,101,0.01,5435,660000,0.0,320.02,4141,0.0,0.0,1,118.5,109.0,113.51,11.36,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 320.02 %,2021Q1_961966,,,,,,,,,,,,,
LECO,2021Q1_961903,林肯电气控股,1995,NAS,工业制品,31070,-,工具和配件,31070050,51983947000,10.23,17.13,$135.14,工业,310,0.07,39556,4863000,0.01,316.12,30050,0.01,0.01,1,126.64,113.21,119.44,13.14,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 316.12 %,2021Q1_961903,,,,,,,,,,,,,
FRIIF,2021Q1_961967,MGI Digital Graphic Technology SA,0,OTCPK,商业服务,31020,-,特种商业服务,31020010,1950829000,0.0,0.0,$49.01,工业,310,6.72,412659,23904000,0.05,313.39,312835,0.04,0.04,1,49.01,49.01,49.01,0.0,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 313.39 %,2021Q1_961967,,,,,,,,,,,,,
KMDA,2021Q1_962038,Kamada Ltd,0,NAS,医药制造,20620,-,专用医药制造,20620020,1617585000,-9.32,-11.42,$5.74,医疗保健,206,1.94,866366,5288000,0.01,312.88,656533,0.01,0.01,1,8.06,6.02,6.63,-13.42,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 312.88 %,2021Q1_962038,,,,,,,,,,,,,
WIX,2021Q1_961998,Wix.com Ltd,0,NAS,软件,31110,-,软件基础构架,31110030,101376066000,-5.84,11.21,$277.97,科技,311,0.04,24114,6733000,0.01,312.35,18266,0.01,0.01,1,353.09,241.28,285.7,-2.71,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 312.35 %,2021Q1_961998,,,,,,,,,,,,,
MGDDF,2021Q1_962030,Cie Generale des Etablissements Michelin SA,2020,OTCPK,汽车和配件,10200,-,汽车配件,10200030,185418431000,11.32,32.39,$163.34,周期性消费,102,0.02,36059,5408000,0.01,307.45,27209,0.01,0.01,1,152.62,125.5,141.17,15.71,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 307.45 %,2021Q1_962030,,,,,,,,,,,,,
MOG.A,2021Q1_961909,Moog Inc,2020,NYSE,航空航天和国防,31010,-,航空航天和国防,31010010,16470795000,-7.62,0.66,$79.32,工业,310,0.18,58675,4879000,0.01,302.27,44089,0.01,0.01,1,86.65,71.53,79.99,-0.84,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 302.27 %,2021Q1_961909,,,,,,,,,,,,,
PYPD,2021Q1_962042,PolyPid Ltd,0,NAS,生物科技,20610,-,生物科技,20610010,903463000,-24.75,-24.75,$7.45,医疗保健,206,3.08,577747,5292000,0.01,301.97,434019,0.01,0.01,1,15.5,8.92,10.93,-31.84,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 301.97 %,2021Q1_962042,,,,,,,,,,,,,
URGN,2021Q1_961997,UroGen Pharma Ltd,0,NAS,生物科技,20610,-,生物科技,20610010,2218675000,-15.2,-14.54,$15.40,医疗保健,206,1.31,291870,5686000,0.01,295.65,218101,0.01,0.01,1,26.96,17.99,21.32,-27.77,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 295.65 %,2021Q1_961997,,,,,,,,,,,,,
KAKZF,2021Q1_962071,Kaspi.kz JSC,0,GREY,软件,31110,-,软件基础构架,31110030,124136223000,40.76,88.48,$99.90,科技,311,0.08,151780,10776000,0.02,293.74,113232,0.01,0.01,1,79.9,54.1,69.14,44.49,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 293.74 %,2021Q1_962071,,,,,,,,,,,,,
XRX,2021Q1_961963,施乐,2017,NYSE,软件,31110,-,软件和信息技术服务,31110010,28920386000,-4.73,2.72,$23.32,科技,311,0.01,28303,687000,0.0,293.1,21103,0.0,0.0,1,26.91,20.75,23.9,-2.43,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 293.10 %,2021Q1_961963,,,,,,,,,,,,,
AUDC,2021Q1_961983,奥科,2018,NAS,硬件,31120,-,通讯设备,31120010,6884913000,2.93,16.81,$32.02,科技,311,0.58,189795,5121000,0.01,279.03,139721,0.01,0.01,1,33.68,26.71,29.71,7.78,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 279.03 %,2021Q1_961983,,,,,,,,,,,,,
OERLF,2021Q1_961888,"OC Oerlikon Corp AG, Pfaffikon",2020,GREY,工业制品,31070,-,特种工业机械,31070020,23534246000,-4.62,25.08,$11.16,工业,310,0.14,462333,5364000,0.01,278.67,340240,0.01,0.01,1,11.7,9.23,10.16,9.84,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 278.67 %,2021Q1_961888,,,,,,,,,,,,,
